"State/System/Region","Requirement(MW) - Jun12","Availability(MW) - Jun12","Surplus / Deficit (MW) - Jun12","Surplus / Deficit (%) - Jun12","Requirement(MW) April - Jun12","Availability(MW) April - Jun12","Surplus / Deficit (MW) April - Jun12","Surplus / Deficit (%) April - Jun12"
"Chandigarh",329,329,0,0,329,329,0,0
"Delhi",5550,5330,-220,-3.96,5550,5330,-220,-3.96
"Haryana",6656,6535,-121,-1.82,6656,6535,-121,-1.82
"Himachal Pradesh",2116,1672,-444,-20.98,2116,1672,-444,-20.98
"Jammu & Kashmir",2150,1613,-537,-24.98,2150,1613,-537,-24.98
"Punjab",10474,8452,-2022,-19.3,10474,8452,-2022,-19.3
"Rajasthan",7686,7634,-52,-0.68,7686,7634,-52,-0.68
"Uttar Pradesh",13349,12048,-1301,-9.75,13373,12048,-1325,-9.91
"Uttarakhand",1757,1397,-360,-20.49,1757,1620,-137,-7.8
"Northern Region",45860,40648,-5212,-11.37,45860,40648,-5212,-11.37
"Chhattisgarh",2898,2697,-201,-6.94,3271,3134,-137,-4.19
"Gujarat",11027,10848,-179,-1.62,11119,10990,-129,-1.16
"Madhya Pradesh",7259,6489,-770,-10.61,8165,6704,-1461,-17.89
"Maharashtra",17770,16670,-1100,-6.19,17934,16765,-1169,-6.52
"Daman & Diu",301,276,-25,-8.31,301,276,-25,-8.31
"Dadra  & Nagar Haveli",607,607,0,0,608,608,0,0
"Goa",432,432,0,0,452,450,-2,-0.44
"Western Region",36582,35259,-1323,-3.62,38043,36247,-1796,-4.72
"Andhra Pradesh",12764,10826,-1938,-15.18,13417,11335,-2082,-15.52
"Karnataka",9108,8066,-1042,-11.44,10124,8264,-1860,-18.37
"Kerala",3364,3167,-197,-5.86,3578,3167,-411,-11.49
"Tamil Nadu",12296,11053,-1243,-10.11,12499,11053,-1446,-11.57
"Puducherry",335,320,-15,-4.48,335,320,-15,-4.48
"Lakshadweep  #",8,8,0,0,8,8,0,0
"Southern Region",35769,31287,-4482,-12.53,36934,31287,-5647,-15.29
"Bihar",2295,1784,-511,-22.27,2295,1784,-511,-22.27
"DVC",2543,2439,-104,-4.09,2543,2439,-104,-4.09
"Jharkhand",1067,969,-98,-9.18,1067,969,-98,-9.18
"Odisha",3916,3694,-222,-5.67,3968,3694,-274,-6.91
"West Bengal",6862,6782,-80,-1.17,7322,7249,-73,-1
"Sikkim",95,95,0,0,95,95,0,0
"Andaman- Nicobar #",40,32,-8,-20,48,48,0,0
"Eastern Region",15254,14330,-924,-6.06,16655,15415,-1240,-7.45
"Arunachal Pradesh",116,114,-2,-1.72,116,114,-2,-1.72
"Assam",1186,1052,-134,-11.3,1186,1093,-93,-7.84
"Manipur",116,113,-3,-2.59,116,113,-3,-2.59
"Meghalaya",272,268,-4,-1.47,275,269,-6,-2.18
"Mizoram",64,62,-2,-3.12,65,64,-1,-1.54
"Nagaland",100,95,-5,-5,100,98,-2,-2
"Tripura",181,179,-2,-1.1,185,183,-2,-1.08
"North-Eastern Region",1988,1770,-218,-10.97,1988,1770,-218,-10.97
"All India",135453,123294,-12159,-8.98,135453,123294,-12159,-8.98
