State /System /Region,September_2015-Peak Demand-( MW ),September_2015-Peak Met-( MW ),September_2015-Surplus / Deficit (-)-( MW ),September_2015-Surplus / Deficit (-)-( % ),April_2015-September_2015-Peak Demand-( MW ),April_2015-September_2015-Peak Met-( MW ),April_2015-September_2015-Surplus / Deficit (-)-( MW ),April_2015-September_2015-Surplus / Deficit (-)-( % )
Chandigarh,319,319,0,0,342,342,0,0
Delhi,5463,5457,-6,-0.1,5846,5846,0,0
Haryana,9113,9113,0,0,9113,9113,0,0
Himachal Pradesh,1300,1300,0,0,1379,1379,0,0
Jammu and Kashmir,2388,2026,-362,-15.2,2437,2026,-411,-16.9
Punjab,10665,10665,0,0,10852,10852,0,0
Rajasthan,10961,10961,0,0,10961,10961,0,0
Uttar Pradesh,16988,13493,-3495,-20.6,16988,13521,-3467,-20.4
Uttarakhand,1948,1948,0,0,1986,1948,-38,-1.9
Northern Region,52912,50622,-2290,-4.3,54474,50622,-3852,-7.1
Chhattisgarh,3929,3681,-248,-6.3,3929,3681,-248,-6.3
Gujarat,14495,14448,-47,-0.3,14495,14448,-47,-0.3
Madhya Pradesh,8377,8377,0,0,8377,8377,0,0
Maharashtra,19247,18984,-263,-1.4,19933,19722,-211,-1.1
Daman and Diu,307,307,0,0,307,307,0,0
Dadra and Nagar Haveli,727,727,0,0,740,740,0,0
Goa,455,413,-42,-9.2,583,552,-31,-5.3
Western Region,43946,43325,-621,-1.4,43946,43325,-621,-1.4
Andhra Pradesh,6336,6330,-6,-0.1,7032,6847,-185,-2.6
Telangana,6588,6586,-2,0,6813,6661,-152,-2.2
Karnataka,9000,7303,-1697,-18.9,9463,9335,-128,-1.4
Kerala,3597,3491,-106,-2.9,3762,3632,-130,-3.5
Tamil Nadu,13533,13505,-28,-0.2,13580,13505,-75,-0.6
Puducherry,368,335,-33,-9,368,350,-18,-4.9
Lakshadweep,8,8,0,0,8,8,0,0
Southern Region,37530,35564,-1966,-5.2,37801,36786,-1015,-2.7
Bihar,3609,3409,-200,-5.5,3609,3409,-200,-5.5
DVC,2411,2306,-105,-4.4,2814,2794,-20,-0.7
Jharkhand,1085,1085,0,0,1115,1090,-25,-2.2
Odisha,3770,3770,0,0,3947,3929,-18,-0.5
West Bengal,7702,7659,-43,-0.6,7905,7885,-20,-0.3
Sikkim,83,83,0,0,84,84,0,0
Andaman and Nicobar Islands,40,32,-8,-20,40,32,-8,-20
Eastern Region,17856,17573,-283,-1.6,17934,17841,-93,-0.5
Arunachal Pradesh,122,122,0,0,138,122,-16,-11.6
Assam,1435,1325,-110,-7.7,1487,1330,-157,-10.6
Manipur,146,146,0,0,160,153,-7,-4.4
Meghalaya,285,283,-2,-0.7,400,322,-78,-19.5
Mizoram,90,89,-1,-1.1,90,89,-1,-1.1
Nagaland,121,120,-1,-0.8,140,138,-2,-1.4
Tripura,269,268,-1,-0.4,300,268,-32,-10.7
North-Eastern Region,2442,2255,-187,-7.7,2573,2356,-217,-8.4
All India,153366,148463,-4903,-3.2,153366,148463,-4903,-3.2
